CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
C0041856,2023-03-01,ABC-BRASIL,180001,B1,C,3,,Crédito Atacado,SP,São Paulo,S3,C0041856,C0080312,28195667,A
C0080312,2023-03-01,ABC-BRASIL - PRUDENCIAL,180001,B1,C,3,,Crédito Atacado,SP,São Paulo,S3,C0041856,C0080312,28195667,A
C0052302,2023-03-01,ABN AMRO,180001,B1,C,3,,,SP,São Paulo,S4,C0052302,C0081579,03532415,A
C0083539,2023-03-01,AFINZ IP - PRUDENCIAL,180001,B1,C,2,,Crédito Varejo,SP,Barueri,,,C0083539,60114865,A
C0051956,2023-03-01,AGIBANK,180001,B1,C,2,,Crédito Varejo,SP,Campinas,S4,C0051956,C0083694,10664513,A
C0083694,2023-03-01,AGIBANK - PRUDENCIAL,180001,B1,C,2,,Crédito Varejo,SP,Campinas,S4,C0051956,C0083694,10664513,A
01542356,2023-03-01,AGROBANCO-BANCO COMERCIAL S.A.,194602,B1,I,2,Banco Comercial,,GO,Goiânia,,,,,I
C0051293,2023-03-01,ALFA,180001,B1,C,2,,Crédito Diversificado,SP,São Paulo,S3,C0051293,C0080570,60770336,A
C0080570,2023-03-01,ALFA - PRUDENCIAL,180001,B1,C,2,,Crédito Diversificado,SP,São Paulo,S3,C0051293,C0080570,60770336,A
C0051949,2023-03-01,ANDBANK,180001,B1,C,3,,Tesouraria e Negócios,SP,São Paulo,S4,C0051949,C0081256,48795256,A
C0081256,2023-03-01,ANDBANK - PRUDENCIAL,180001,B1,C,3,,Tesouraria e Negócios,SP,São Paulo,S4,C0051949,C0081256,48795256,A
28195667,2023-03-01,BANCO ABC BRASIL S.A.,198312,B1,I,3,Banco Múltiplo,,SP,São Paulo,S3,C0041856,C0080312,28195667,A
33066408,2023-03-01,BANCO ABN AMRO REAL S.A.,196703,B1,I,3,Banco Múltiplo,,SP,São Paulo,,,,,I
03532415,2023-03-01,BANCO ABN AMRO S.A.,199912,B1,I,3,Banco Múltiplo,Filial Estrangeiro,SP,São Paulo,S4,C0052302,C0081579,03532415,A
04814563,2023-03-01,BANCO AFINZ S.A. - BANCO MÚLTIPLO,201007,B1,I,2,Banco Múltiplo,Crédito Varejo,SP,Barueri,,,C0083539,60114865,A
10664513,2023-03-01,BANCO AGIBANK S.A.,200903,B1,I,2,Banco Comercial,,SP,Campinas,S4,C0051956,C0083694,10664513,A
24986770,2023-03-01,BANCO AGRIMISA S.A.,193107,B1,I,2,Banco Múltiplo,,MG,Belo Horizonte,,,,,I
03323840,2023-03-01,BANCO ALFA S.A.,199909,B1,I,2,Banco Comercial,,SP,São Paulo,S3,C0051293,C0080570,60770336,A
33870163,2023-03-01,BANCO ALVORADA S.A.,196810,B1,I,3,Banco Múltiplo,,BA,Salvador,,,,,I
48795256,2023-03-01,BANCO ANDBANK (BRASIL) S.A.,197708,B1,I,3,Banco Múltiplo,,SP,São Paulo,S4,C0051949,C0081256,48795256,A
33861840,2023-03-01,BANCO APLICAP S.A.,197903,B1,I,2,Banco Comercial,,RJ,Rio de Janeiro,,,,,LO
78336633,2023-03-01,BANCO ARAUCÁRIA S.A.,197912,B1,I,2,Banco Múltiplo,,PR,Curitiba,,,,,I
54403563,2023-03-01,BANCO ARBI S.A.,196910,B1,I,2,Banco Comercial,Crédito Varejo,RJ,Rio de Janeiro,S4,,C0081201,54403563,A
60885100,2023-03-01,BANCO AUXILIAR S.A.,194301,B1,I,2,Banco Comercial,,SP,São Paulo,,,,,I
C0081225,2023-03-01,BANCO B3 - PRUDENCIAL,180001,B1,I,2,,Serviços,SP,São Paulo,S4,,C0081225,00997185,A
00997185,2023-03-01,BANCO B3 S.A.,199609,B1,I,2,Banco Comercial,Serviços,SP,São Paulo,S4,,C0081225,00997185,A
10866788,2023-03-01,BANCO BANDEPE S.A.,196402,B1,I,3,Banco Múltiplo,,SP,São Paulo,S1,C0030379,C0080185,90400888,A
15142490,2023-03-01,BANCO BANEB S.A.,193706,B1,I,2,Banco Múltiplo,,BA,Salvador,,,,,I
76492172,2023-03-01,BANCO BANESTADO S.A.,192811,B1,I,2,Banco Múltiplo,,PR,Curitiba,,,,,I
C0080893,2023-03-01,BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL,180001,B1,C,2,,Crédito Varejo,PR,Curitiba,S4,C0051774,C0080893,00556603,A
00556603,2023-03-01,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,199506,B1,I,2,Banco Múltiplo,,PR,Curitiba,S4,C0051774,C0080893,00556603,A
60898723,2023-03-01,BANCO BCN S.A.,194001,B1,I,2,Banco Múltiplo,,SP,São Paulo,,,,,I
04562120,2023-03-01,BANCO BEA S.A.,195805,B1,I,2,Banco Múltiplo,,AM,Manaus,,,,,I
07196934,2023-03-01,BANCO BEC S.A.,196406,B1,I,2,Banco Múltiplo,,SP,Osasco,,,,,I
01540541,2023-03-01,BANCO BEG S.A.,194607,B1,I,2,Banco Múltiplo,,GO,Goiânia,,,,,I
61186680,2023-03-01,BANCO BMG S.A.,196504,B1,I,2,Banco Múltiplo,,SP,São Paulo,S3,C0030290,C0080178,61186680,A
